id,country,year,gini,gdp,population,eu_membership,oecd,incomegroup
33,Argentina,1959,46.3,11524,20146306,Non-EU,Non-OECD,Upper middle income
34,Argentina,1961,41.9,12889,20817270,Non-EU,Non-OECD,Upper middle income
35,Argentina,1961,40.7,12889,20817270,Non-EU,Non-OECD,Upper middle income
36,Argentina,1961,50.8,12889,20817270,Non-EU,Non-OECD,Upper middle income
37,Argentina,1961,42,12889,20817270,Non-EU,Non-OECD,Upper middle income
38,Argentina,1961,47.7,12889,20817270,Non-EU,Non-OECD,Upper middle income
39,Argentina,1961,43.8,12889,20817270,Non-EU,Non-OECD,Upper middle income
40,Argentina,1961,49,12889,20817270,Non-EU,Non-OECD,Upper middle income
41,Argentina,1961,53.1,12889,20817270,Non-EU,Non-OECD,Upper middle income
42,Argentina,1961,42.3,12889,20817270,Non-EU,Non-OECD,Upper middle income
43,Argentina,1961,42.5,12889,20817270,Non-EU,Non-OECD,Upper middle income
44,Argentina,1961,47.8,12889,20817270,Non-EU,Non-OECD,Upper middle income
45,Argentina,1961,42,12889,20817270,Non-EU,Non-OECD,Upper middle income
46,Argentina,1961,43.4,12889,20817270,Non-EU,Non-OECD,Upper middle income
47,Argentina,1963,37.3,11994,21488916,Non-EU,Non-OECD,Upper middle income
48,Argentina,1963,35.8,11994,21488916,Non-EU,Non-OECD,Upper middle income
49,Argentina,1963,38.5,11994,21488916,Non-EU,Non-OECD,Upper middle income
50,Argentina,1965,35.3,14008,22159644,Non-EU,Non-OECD,Upper middle income
51,Argentina,1969,37.3,15473,23517614,Non-EU,Non-OECD,Upper middle income
52,Argentina,1970,36.1,16055,23880564,Non-EU,Non-OECD,Upper middle income
53,Argentina,1970,41.1,16055,23880564,Non-EU,Non-OECD,Upper middle income
54,Argentina,1972,35.3,16788,24653172,Non-EU,Non-OECD,Upper middle income
55,Argentina,1972,33.4,16788,24653172,Non-EU,Non-OECD,Upper middle income
56,Argentina,1974,34.54,18324,25462304,Non-EU,Non-OECD,Upper middle income
57,Argentina,1974,32.19,18324,25462304,Non-EU,Non-OECD,Upper middle income
58,Argentina,1974,36,18324,25462304,Non-EU,Non-OECD,Upper middle income
59,Argentina,1974,34.4,18324,25462304,Non-EU,Non-OECD,Upper middle income
60,Argentina,1975,36.1,17858,25865776,Non-EU,Non-OECD,Upper middle income
61,Argentina,1975,34.7,17858,25865776,Non-EU,Non-OECD,Upper middle income
62,Argentina,1976,35.2,17513,26264682,Non-EU,Non-OECD,Upper middle income
63,Argentina,1977,40.3,18258,26661396,Non-EU,Non-OECD,Upper middle income
64,Argentina,1978,43.4,17166,27061042,Non-EU,Non-OECD,Upper middle income
65,Argentina,1979,41.3,18090,27471046,Non-EU,Non-OECD,Upper middle income
66,Argentina,1980,39.31,18043,27896532,Non-EU,Non-OECD,Upper middle income
67,Argentina,1980,37.61,18043,27896532,Non-EU,Non-OECD,Upper middle income
68,Argentina,1980,41.6,18043,27896532,Non-EU,Non-OECD,Upper middle income
69,Argentina,1980,40.83,18043,27896532,Non-EU,Non-OECD,Upper middle income
70,Argentina,1980,40.5,18043,27896532,Non-EU,Non-OECD,Upper middle income
71,Argentina,1980,40.8,18043,27896532,Non-EU,Non-OECD,Upper middle income
72,Argentina,1981,42.7,16726,28338514,Non-EU,Non-OECD,Upper middle income
73,Argentina,1981,42.8,16726,28338514,Non-EU,Non-OECD,Upper middle income
74,Argentina,1982,40.2,15933,28794550,Non-EU,Non-OECD,Upper middle income
75,Argentina,1983,40.4,16243,29262048,Non-EU,Non-OECD,Upper middle income
76,Argentina,1985,39.8,15029,30216284,Non-EU,Non-OECD,Upper middle income
77,Argentina,1986,42.17,15884,30698964,Non-EU,Non-OECD,Upper middle income
78,Argentina,1986,40.52,15884,30698964,Non-EU,Non-OECD,Upper middle income
79,Argentina,1986,42.79,15884,30698964,Non-EU,Non-OECD,Upper middle income
80,Argentina,1987,44.82,16047,31184410,Non-EU,Non-OECD,Upper middle income
81,Argentina,1987,43.07,16047,31184410,Non-EU,Non-OECD,Upper middle income
82,Argentina,1987,45.28,16047,31184410,Non-EU,Non-OECD,Upper middle income
83,Argentina,1987,43.3,16047,31184410,Non-EU,Non-OECD,Upper middle income
84,Argentina,1988,45.52,15510,31668940,Non-EU,Non-OECD,Upper middle income
85,Argentina,1988,43.75,15510,31668940,Non-EU,Non-OECD,Upper middle income
86,Argentina,1988,45.2,15510,31668940,Non-EU,Non-OECD,Upper middle income
87,Argentina,1989,47.6,14337,32148136,Non-EU,Non-OECD,Upper middle income
88,Argentina,1990,50.1,14145,32618648,Non-EU,Non-OECD,Upper middle income
89,Argentina,1990,43.1,14145,32618648,Non-EU,Non-OECD,Upper middle income
90,Argentina,1991,46.52,15222,33079004,Non-EU,Non-OECD,Upper middle income
91,Argentina,1991,44.17,15222,33079004,Non-EU,Non-OECD,Upper middle income
92,Argentina,1991,46.76,15222,33079004,Non-EU,Non-OECD,Upper middle income
93,Argentina,1991,44.1,15222,33079004,Non-EU,Non-OECD,Upper middle income
94,Argentina,1992,44.4,16209,33529320,Non-EU,Non-OECD,Upper middle income
95,Argentina,1992,42.38,16209,33529320,Non-EU,Non-OECD,Upper middle income
96,Argentina,1992,45.02,16209,33529320,Non-EU,Non-OECD,Upper middle income
97,Argentina,1992,42.95,16209,33529320,Non-EU,Non-OECD,Upper middle income
98,Argentina,1992,48.2,16209,33529320,Non-EU,Non-OECD,Upper middle income
99,Argentina,1992,45.47,16209,33529320,Non-EU,Non-OECD,Upper middle income
100,Argentina,1992,43.6,16209,33529320,Non-EU,Non-OECD,Upper middle income
101,Argentina,1993,44.4,17312,33970100,Non-EU,Non-OECD,Upper middle income
102,Argentina,1993,42.32,17312,33970100,Non-EU,Non-OECD,Upper middle income
103,Argentina,1993,44.86,17312,33970100,Non-EU,Non-OECD,Upper middle income
104,Argentina,1994,45.29,18092,34402668,Non-EU,Non-OECD,Upper middle income
105,Argentina,1994,43.1,18092,34402668,Non-EU,Non-OECD,Upper middle income
106,Argentina,1994,51.5,18092,34402668,Non-EU,Non-OECD,Upper middle income
107,Argentina,1994,45.92,18092,34402668,Non-EU,Non-OECD,Upper middle income
108,Argentina,1994,43.8,18092,34402668,Non-EU,Non-OECD,Upper middle income
109,Argentina,1995,48.12,17363,34828168,Non-EU,Non-OECD,Upper middle income
110,Argentina,1995,45.97,17363,34828168,Non-EU,Non-OECD,Upper middle income
111,Argentina,1995,48.9,17363,34828168,Non-EU,Non-OECD,Upper middle income
112,Argentina,1995,46.3,17363,34828168,Non-EU,Non-OECD,Upper middle income
113,Argentina,1996,48.56,18105,35246376,Non-EU,Non-OECD,Upper middle income
114,Argentina,1996,46.26,18105,35246376,Non-EU,Non-OECD,Upper middle income
115,Argentina,1996,49.52,18105,35246376,Non-EU,Non-OECD,Upper middle income
116,Argentina,1996,45.8,18105,35246376,Non-EU,Non-OECD,Upper middle income
117,Argentina,1996,47.7,18105,35246376,Non-EU,Non-OECD,Upper middle income
118,Argentina,1997,48.35,19348,35657436,Non-EU,Non-OECD,Upper middle income
119,Argentina,1997,46.07,19348,35657436,Non-EU,Non-OECD,Upper middle income
120,Argentina,1997,53,19348,35657436,Non-EU,Non-OECD,Upper middle income
121,Argentina,1997,49.11,19348,35657436,Non-EU,Non-OECD,Upper middle income
122,Argentina,1997,44.8,19348,35657436,Non-EU,Non-OECD,Upper middle income
123,Argentina,1998,50.22,19866,36063448,Non-EU,Non-OECD,Upper middle income
124,Argentina,1998,47.96,19866,36063448,Non-EU,Non-OECD,Upper middle income
125,Argentina,1998,50.15,19866,36063448,Non-EU,Non-OECD,Upper middle income
126,Argentina,1998,47.83,19866,36063448,Non-EU,Non-OECD,Upper middle income
127,Argentina,1998,50.73,19866,36063448,Non-EU,Non-OECD,Upper middle income
128,Argentina,1998,46.7,19866,36063448,Non-EU,Non-OECD,Upper middle income
129,Argentina,1998,49.4,19866,36063448,Non-EU,Non-OECD,Upper middle income
130,Argentina,1999,49.07,18981,36467220,Non-EU,Non-OECD,Upper middle income
131,Argentina,1999,46.81,18981,36467220,Non-EU,Non-OECD,Upper middle income
132,Argentina,1999,53.9,18981,36467220,Non-EU,Non-OECD,Upper middle income
133,Argentina,1999,49.79,18981,36467220,Non-EU,Non-OECD,Upper middle income
134,Argentina,2000,50.39,18625,36870796,Non-EU,Non-OECD,Upper middle income
135,Argentina,2000,48.24,18625,36870796,Non-EU,Non-OECD,Upper middle income
136,Argentina,2000,48.7,18625,36870796,Non-EU,Non-OECD,Upper middle income
137,Argentina,2000,54.4,18625,36870796,Non-EU,Non-OECD,Upper middle income
138,Argentina,2000,51.06,18625,36870796,Non-EU,Non-OECD,Upper middle income
139,Argentina,2001,52.21,17611,37275644,Non-EU,Non-OECD,Upper middle income
140,Argentina,2001,50.13,17611,37275644,Non-EU,Non-OECD,Upper middle income
141,Argentina,2001,50.5,17611,37275644,Non-EU,Non-OECD,Upper middle income
142,Argentina,2001,56,17611,37275644,Non-EU,Non-OECD,Upper middle income
143,Argentina,2001,53.34,17611,37275644,Non-EU,Non-OECD,Upper middle income
144,Argentina,2002,53.27,15523,37681744,Non-EU,Non-OECD,Upper middle income
145,Argentina,2002,51.24,15523,37681744,Non-EU,Non-OECD,Upper middle income
146,Argentina,2002,49.8,15523,37681744,Non-EU,Non-OECD,Upper middle income
147,Argentina,2002,57.8,15523,37681744,Non-EU,Non-OECD,Upper middle income
148,Argentina,2002,53.79,15523,37681744,Non-EU,Non-OECD,Upper middle income
149,Argentina,2003,52.79,16715,38087868,Non-EU,Non-OECD,Upper middle income
150,Argentina,2003,50.58,16715,38087868,Non-EU,Non-OECD,Upper middle income
151,Argentina,2003,51.01,16715,38087868,Non-EU,Non-OECD,Upper middle income
152,Argentina,2003,48.66,16715,38087868,Non-EU,Non-OECD,Upper middle income
153,Argentina,2003,46.7,16715,38087868,Non-EU,Non-OECD,Upper middle income
154,Argentina,2003,51.2,16715,38087868,Non-EU,Non-OECD,Upper middle income
155,Argentina,2004,48.45,18033,38491968,Non-EU,Non-OECD,Upper middle income
156,Argentina,2004,46,18033,38491968,Non-EU,Non-OECD,Upper middle income
157,Argentina,2004,43.8,18033,38491968,Non-EU,Non-OECD,Upper middle income
158,Argentina,2004,57.8,18033,38491968,Non-EU,Non-OECD,Upper middle income
159,Argentina,2004,48.59,18033,38491968,Non-EU,Non-OECD,Upper middle income
160,Argentina,2005,47.82,19426,38892924,Non-EU,Non-OECD,Upper middle income
161,Argentina,2005,45.48,19426,38892924,Non-EU,Non-OECD,Upper middle income
162,Argentina,2005,42.9,19426,38892924,Non-EU,Non-OECD,Upper middle income
163,Argentina,2005,55.8,19426,38892924,Non-EU,Non-OECD,Upper middle income
164,Argentina,2005,47.95,19426,38892924,Non-EU,Non-OECD,Upper middle income
165,Argentina,2006,46.61,20778,39289876,Non-EU,Non-OECD,Upper middle income
166,Argentina,2006,44.21,20778,39289876,Non-EU,Non-OECD,Upper middle income
167,Argentina,2006,44.3,20778,39289876,Non-EU,Non-OECD,Upper middle income
168,Argentina,2006,54.9,20778,39289876,Non-EU,Non-OECD,Upper middle income
169,Argentina,2006,46.71,20778,39289876,Non-EU,Non-OECD,Upper middle income
170,Argentina,2007,46.43,22424,39684304,Non-EU,Non-OECD,Upper middle income
171,Argentina,2007,44.1,22424,39684304,Non-EU,Non-OECD,Upper middle income
172,Argentina,2007,43.7,22424,39684304,Non-EU,Non-OECD,Upper middle income
173,Argentina,2007,46.58,22424,39684304,Non-EU,Non-OECD,Upper middle income
174,Argentina,2008,45.18,23103,40080160,Non-EU,Non-OECD,Upper middle income
175,Argentina,2008,42.7,23103,40080160,Non-EU,Non-OECD,Upper middle income
176,Argentina,2008,41.3,23103,40080160,Non-EU,Non-OECD,Upper middle income
177,Argentina,2008,45.3,23103,40080160,Non-EU,Non-OECD,Upper middle income
178,Argentina,2009,44.03,21520,40482784,Non-EU,Non-OECD,Upper middle income
179,Argentina,2009,41.54,21520,40482784,Non-EU,Non-OECD,Upper middle income
180,Argentina,2009,41.3,21520,40482784,Non-EU,Non-OECD,Upper middle income
181,Argentina,2009,51,21520,40482784,Non-EU,Non-OECD,Upper middle income
182,Argentina,2009,44.14,21520,40482784,Non-EU,Non-OECD,Upper middle income
183,Argentina,2009,44.7,21520,40482784,Non-EU,Non-OECD,Upper middle income
184,Argentina,2009,48.9,21520,40482784,Non-EU,Non-OECD,Upper middle income
185,Argentina,2010,44.36,23521,40895752,Non-EU,Non-OECD,Upper middle income
186,Argentina,2010,41.79,23521,40895752,Non-EU,Non-OECD,Upper middle income
187,Argentina,2010,41.2,23521,40895752,Non-EU,Non-OECD,Upper middle income
188,Argentina,2010,50.9,23521,40895752,Non-EU,Non-OECD,Upper middle income
189,Argentina,2010,44.46,23521,40895752,Non-EU,Non-OECD,Upper middle income
190,Argentina,2011,42.58,24648,41320496,Non-EU,Non-OECD,Upper middle income
191,Argentina,2011,39.87,24648,41320496,Non-EU,Non-OECD,Upper middle income
192,Argentina,2011,40.6,24648,41320496,Non-EU,Non-OECD,Upper middle income
193,Argentina,2011,49.2,24648,41320496,Non-EU,Non-OECD,Upper middle income
194,Argentina,2011,42.74,24648,41320496,Non-EU,Non-OECD,Upper middle income
195,Argentina,2012,41.27,24119,41755188,Non-EU,Non-OECD,Upper middle income
196,Argentina,2012,38.45,24119,41755188,Non-EU,Non-OECD,Upper middle income
197,Argentina,2012,38.9,24119,41755188,Non-EU,Non-OECD,Upper middle income
198,Argentina,2012,47.5,24119,41755188,Non-EU,Non-OECD,Upper middle income
199,Argentina,2012,41.38,24119,41755188,Non-EU,Non-OECD,Upper middle income
200,Argentina,2013,40.86,24424,42196036,Non-EU,Non-OECD,Upper middle income
201,Argentina,2013,38.05,24424,42196036,Non-EU,Non-OECD,Upper middle income
202,Argentina,2013,38.9,24424,42196036,Non-EU,Non-OECD,Upper middle income
203,Argentina,2013,47.2,24424,42196036,Non-EU,Non-OECD,Upper middle income
204,Argentina,2013,41.01,24424,42196036,Non-EU,Non-OECD,Upper middle income
205,Argentina,2014,41.56,23550,42637508,Non-EU,Non-OECD,Upper middle income
206,Argentina,2014,38.59,23550,42637508,Non-EU,Non-OECD,Upper middle income
207,Argentina,2014,39.1,23550,42637508,Non-EU,Non-OECD,Upper middle income
208,Argentina,2014,47,23550,42637508,Non-EU,Non-OECD,Upper middle income
209,Argentina,2014,41.7,23550,42637508,Non-EU,Non-OECD,Upper middle income
210,Argentina,2015,40.72,23934,43075416,Non-EU,Non-OECD,Upper middle income
211,Argentina,2015,37.7,23934,43075416,Non-EU,Non-OECD,Upper middle income
212,Argentina,2016,41.96,23190,43508460,Non-EU,Non-OECD,Upper middle income
213,Argentina,2016,39.08,23190,43508460,Non-EU,Non-OECD,Upper middle income
214,Argentina,2016,39.3,23190,43508460,Non-EU,Non-OECD,Upper middle income
215,Argentina,2016,42.02,23190,43508460,Non-EU,Non-OECD,Upper middle income
216,Argentina,2017,41.06,23597,43937144,Non-EU,Non-OECD,Upper middle income
217,Argentina,2017,38.17,23597,43937144,Non-EU,Non-OECD,Upper middle income
218,Argentina,2017,38.8,23597,43937144,Non-EU,Non-OECD,Upper middle income
219,Argentina,2017,41.2,23597,43937144,Non-EU,Non-OECD,Upper middle income
220,Argentina,2018,41.27,22759,44361148,Non-EU,Non-OECD,Upper middle income
221,Argentina,2018,38.47,22759,44361148,Non-EU,Non-OECD,Upper middle income
222,Argentina,2018,39.6,22759,44361148,Non-EU,Non-OECD,Upper middle income
223,Argentina,2018,41.38,22759,44361148,Non-EU,Non-OECD,Upper middle income
224,Argentina,2019,42.47,22064,44780676,Non-EU,Non-OECD,Upper middle income
225,Argentina,2019,39.71,22064,44780676,Non-EU,Non-OECD,Upper middle income
226,Argentina,2019,40,22064,44780676,Non-EU,Non-OECD,Upper middle income
227,Armenia,1986,26.9,5568,3392264,Non-EU,Non-OECD,Upper middle income
228,Armenia,1988,28,4983,3504667,Non-EU,Non-OECD,Upper middle income
229,Armenia,1989,25.9,5639,3536473,Non-EU,Non-OECD,Upper middle income
230,Armenia,1989,25.8,5639,3536473,Non-EU,Non-OECD,Upper middle income
231,Armenia,1990,26.9,5180,3538164,Non-EU,Non-OECD,Upper middle income
232,Armenia,1991,29.6,4617,3505249,Non-EU,Non-OECD,Upper middle income
233,Armenia,1992,35.5,2736,3442820,Non-EU,Non-OECD,Upper middle income
234,Armenia,1993,36.6,2554,3363111,Non-EU,Non-OECD,Upper middle income
235,Armenia,1994,32.1,2757,3283664,Non-EU,Non-OECD,Upper middle income
236,Armenia,1995,38.1,3008,3217349,Non-EU,Non-OECD,Upper middle income
237,Armenia,1996,42,3234,3168213,Non-EU,Non-OECD,Upper middle income
238,Armenia,1996,61.3,3234,3168213,Non-EU,Non-OECD,Upper middle income
239,Armenia,1996,48.2,3234,3168213,Non-EU,Non-OECD,Upper middle income
240,Armenia,1996,44.42,3234,3168213,Non-EU,Non-OECD,Upper middle income
241,Armenia,1998,55.5,3654,3108691,Non-EU,Non-OECD,Upper middle income
242,Armenia,1998,36.5,3654,3108691,Non-EU,Non-OECD,Upper middle income
243,Armenia,1999,36.22,3799,3089020,Non-EU,Non-OECD,Upper middle income
244,Armenia,2000,48.6,4048,3069597,Non-EU,Non-OECD,Upper middle income
245,Armenia,2001,35.36,4464,3050686,Non-EU,Non-OECD,Upper middle income
246,Armenia,2002,35.9,5082,3033976,Non-EU,Non-OECD,Upper middle income
247,Armenia,2002,34.78,5082,3033976,Non-EU,Non-OECD,Upper middle income
248,Armenia,2003,48.4,5824,3017938,Non-EU,Non-OECD,Upper middle income
249,Armenia,2003,54.3,5824,3017938,Non-EU,Non-OECD,Upper middle income
250,Armenia,2003,33.03,5824,3017938,Non-EU,Non-OECD,Upper middle income
251,Armenia,2004,45.5,6472,3000715,Non-EU,Non-OECD,Upper middle income
252,Armenia,2004,37.51,6472,3000715,Non-EU,Non-OECD,Upper middle income
253,Armenia,2005,43.4,7420,2981262,Non-EU,Non-OECD,Upper middle income
254,Armenia,2005,35.99,7420,2981262,Non-EU,Non-OECD,Upper middle income
255,Armenia,2006,40,8464,2958301,Non-EU,Non-OECD,Upper middle income
256,Armenia,2006,29.71,8464,2958301,Non-EU,Non-OECD,Upper middle income
257,Armenia,2007,30.2,9708,2932615,Non-EU,Non-OECD,Upper middle income
258,Armenia,2007,,9708,2932615,Non-EU,Non-OECD,Upper middle income
259,Armenia,2007,31.23,9708,2932615,Non-EU,Non-OECD,Upper middle income
260,Armenia,2008,33.9,10468,2907615,Non-EU,Non-OECD,Upper middle income
261,Armenia,2008,,10468,2907615,Non-EU,Non-OECD,Upper middle income
262,Armenia,2008,29.19,10468,2907615,Non-EU,Non-OECD,Upper middle income
263,Armenia,2009,35.5,9052,2888094,Non-EU,Non-OECD,Upper middle income
264,Armenia,2009,,9052,2888094,Non-EU,Non-OECD,Upper middle income
265,Armenia,2009,28.02,9052,2888094,Non-EU,Non-OECD,Upper middle income
266,Armenia,2010,36.2,9286,2877314,Non-EU,Non-OECD,Upper middle income
267,Armenia,2010,,9286,2877314,Non-EU,Non-OECD,Upper middle income
268,Armenia,2010,29.99,9286,2877314,Non-EU,Non-OECD,Upper middle income
269,Armenia,2011,37.1,9725,2876536,Non-EU,Non-OECD,Upper middle income
270,Armenia,2011,,9725,2876536,Non-EU,Non-OECD,Upper middle income
271,Armenia,2011,29.35,9725,2876536,Non-EU,Non-OECD,Upper middle income
272,Armenia,2012,29.6,10398,2884239,Non-EU,Non-OECD,Upper middle income
273,Armenia,2013,30.58,10691,2897593,Non-EU,Non-OECD,Upper middle income
274,Armenia,2014,31.48,11020,2912403,Non-EU,Non-OECD,Upper middle income
275,Armenia,2015,32.36,11321,2925559,Non-EU,Non-OECD,Upper middle income
276,Armenia,2016,32.55,11303,2936147,Non-EU,Non-OECD,Upper middle income
277,Armenia,2017,33.62,12115,2944789,Non-EU,Non-OECD,Upper middle income
278,Armenia,2018,34.43,12715,2951741,Non-EU,Non-OECD,Upper middle income
279,Australia,1942,34.8,,,Non-EU,OECD,High income
280,Australia,1942,23.5,,,Non-EU,OECD,High income
281,Australia,1943,34.9,,,Non-EU,OECD,High income
282,Australia,1944,34.1,,,Non-EU,OECD,High income
283,Australia,1944,23.1,,,Non-EU,OECD,High income
284,Australia,1945,34.4,,,Non-EU,OECD,High income
285,Australia,1945,23.7,,,Non-EU,OECD,High income
286,Australia,1946,33.6,,,Non-EU,OECD,High income
287,Australia,1946,23.6,,,Non-EU,OECD,High income
288,Australia,1947,35.5,,,Non-EU,OECD,High income
289,Australia,1947,26.2,,,Non-EU,OECD,High income
290,Australia,1948,35.8,,,Non-EU,OECD,High income
291,Australia,1948,26.5,,,Non-EU,OECD,High income
292,Australia,1949,36.4,,,Non-EU,OECD,High income
293,Australia,1949,27.2,,,Non-EU,OECD,High income
294,Australia,1950,42.7,13513,8177348,Non-EU,OECD,High income
295,Australia,1950,30.3,13513,8177348,Non-EU,OECD,High income
296,Australia,1951,34.8,13686,8398224,Non-EU,OECD,High income
297,Australia,1951,22.7,13686,8398224,Non-EU,OECD,High income
298,Australia,1952,34.1,13523,8595064,Non-EU,OECD,High income
299,Australia,1952,23.5,13523,8595064,Non-EU,OECD,High income
300,Australia,1953,32,13682,8782177,Non-EU,OECD,High income
301,Australia,1953,23,13682,8782177,Non-EU,OECD,High income
302,Australia,1954,32,14204,8970121,Non-EU,OECD,High income
303,Australia,1954,23.5,14204,8970121,Non-EU,OECD,High income
304,Australia,1955,32.7,14634,9165700,Non-EU,OECD,High income
305,Australia,1955,23.6,14634,9165700,Non-EU,OECD,High income
306,Australia,1956,31.5,14781,9371781,Non-EU,OECD,High income
307,Australia,1956,24,14781,9371781,Non-EU,OECD,High income
308,Australia,1957,30.4,14748,9587459,Non-EU,OECD,High income
309,Australia,1957,23.4,14748,9587459,Non-EU,OECD,High income
310,Australia,1958,30.8,15140,9808595,Non-EU,OECD,High income
311,Australia,1958,24.3,15140,9808595,Non-EU,OECD,High income
312,Australia,1959,30.9,15729,10028799,Non-EU,OECD,High income
313,Australia,1959,24.7,15729,10028799,Non-EU,OECD,High income
314,Australia,1960,30.9,16027,10242070,Non-EU,OECD,High income
315,Australia,1960,24.7,16027,10242070,Non-EU,OECD,High income
316,Australia,1961,30.9,15775,10445836,Non-EU,OECD,High income
317,Australia,1961,24.9,15775,10445836,Non-EU,OECD,High income
318,Australia,1962,41.6,16457,10643420,Non-EU,OECD,High income
319,Australia,1962,31.5,16457,10643420,Non-EU,OECD,High income
320,Australia,1962,25.2,16457,10643420,Non-EU,OECD,High income
321,Australia,1963,31.2,17136,10845179,Non-EU,OECD,High income
322,Australia,1963,24.9,17136,10845179,Non-EU,OECD,High income
323,Australia,1964,30.5,17955,11065419,Non-EU,OECD,High income
324,Australia,1964,24.1,17955,11065419,Non-EU,OECD,High income
325,Australia,1965,30.3,18508,11313186,Non-EU,OECD,High income
326,Australia,1965,24.2,18508,11313186,Non-EU,OECD,High income
327,Australia,1966,30.7,18670,11593402,Non-EU,OECD,High income
328,Australia,1966,24.5,18670,11593402,Non-EU,OECD,High income
329,Australia,1967,30.8,19567,11899644,Non-EU,OECD,High income
330,Australia,1967,24.7,19567,11899644,Non-EU,OECD,High income
331,Australia,1967,32,19567,11899644,Non-EU,OECD,High income
332,Australia,1967,31.2,19567,11899644,Non-EU,OECD,High income
333,Australia,1968,30.9,20324,12215704,Non-EU,OECD,High income
334,Australia,1968,24.7,20324,12215704,Non-EU,OECD,High income
335,Australia,1968,33.2,20324,12215704,Non-EU,OECD,High income
336,Australia,1968,31.7,20324,12215704,Non-EU,OECD,High income
337,Australia,1968,33.5,20324,12215704,Non-EU,OECD,High income
338,Australia,1969,32,21076,12518931,Non-EU,OECD,High income
339,Australia,1969,31.2,21076,12518931,Non-EU,OECD,High income
340,Australia,1969,24.8,21076,12518931,Non-EU,OECD,High income
341,Australia,1970,31,21920,12793030,Non-EU,OECD,High income
342,Australia,1970,25,21920,12793030,Non-EU,OECD,High income
343,Australia,1971,30.8,22405,13033130,Non-EU,OECD,High income
344,Australia,1971,24.9,22405,13033130,Non-EU,OECD,High income
345,Australia,1972,28.2,22613,13244163,Non-EU,OECD,High income
346,Australia,1972,22.5,22613,13244163,Non-EU,OECD,High income
347,Australia,1973,29.1,23477,13431790,Non-EU,OECD,High income
348,Australia,1973,22.9,23477,13431790,Non-EU,OECD,High income
349,Australia,1974,29.3,23673,13605574,Non-EU,OECD,High income
350,Australia,1974,20.9,23673,13605574,Non-EU,OECD,High income
351,Australia,1975,26.6,24010,13773290,Non-EU,OECD,High income
352,Australia,1975,18.1,24010,13773290,Non-EU,OECD,High income
353,Australia,1976,34.3,24719,13935722,Non-EU,OECD,High income
354,Australia,1976,33,24719,13935722,Non-EU,OECD,High income
355,Australia,1976,34.5,24719,13935722,Non-EU,OECD,High income
356,Australia,1976,27,24719,13935722,Non-EU,OECD,High income
357,Australia,1976,18.7,24719,13935722,Non-EU,OECD,High income
358,Australia,1977,27.1,24695,14092545,Non-EU,OECD,High income
359,Australia,1977,19.4,24695,14092545,Non-EU,OECD,High income
360,Australia,1978,38.1,25102,14249403,Non-EU,OECD,High income
361,Australia,1978,26.1,25102,14249403,Non-EU,OECD,High income
